"data_id","age","language","form","birth_order","ethnicity","sex","mom_ed","measure","vocab","demo","n","demo_label"
65,19,"English","WS","Second","Asian","Female","Secondary","production",22,"All Data",5498,"All Data (n = 5498)"
66,18,"English","WS","Eighth","Black","Male","College","production",4,"All Data",5498,"All Data (n = 5498)"
67,17,"English","WS","Third","White","Male","Secondary","production",8,"All Data",5498,"All Data (n = 5498)"
68,18,"English","WS","Third","Hispanic","Male","Secondary","production",47,"All Data",5498,"All Data (n = 5498)"
69,19,"English","WS","Fourth","Black","Female","Secondary","production",27,"All Data",5498,"All Data (n = 5498)"
70,23,"English","WS","Fourth","Other","Female","Secondary","production",397,"All Data",5498,"All Data (n = 5498)"
71,16,"English","WS","Second","Black","Male","Secondary","production",25,"All Data",5498,"All Data (n = 5498)"
72,23,"English","WS","Second","Hispanic","Female","Some College","production",117,"All Data",5498,"All Data (n = 5498)"
73,20,"English","WS","Second","Other","Female","Secondary","production",97,"All Data",5498,"All Data (n = 5498)"
74,28,"English","WS","Second","Hispanic","Male","Secondary","production",215,"All Data",5498,"All Data (n = 5498)"
75,22,"English","WS","Sixth","Black","Male","Some Secondary","production",323,"All Data",5498,"All Data (n = 5498)"
76,30,"English","WS","Second","Other","Male","Some Secondary","production",316,"All Data",5498,"All Data (n = 5498)"
77,25,"English","WS","Second","Hispanic","Female","Secondary","production",141,"All Data",5498,"All Data (n = 5498)"
78,23,"English","WS","Fourth","Other","Male","College","production",237,"All Data",5498,"All Data (n = 5498)"
79,21,"English","WS","Third","Black","Male","Secondary","production",206,"All Data",5498,"All Data (n = 5498)"
80,23,"English","WS","Fourth","Other","Female","Secondary","production",91,"All Data",5498,"All Data (n = 5498)"
81,24,"English","WS","Third","Hispanic","Female","Some College","production",266,"All Data",5498,"All Data (n = 5498)"
82,23,"English","WS","Second","Hispanic","Female","Some Secondary","production",66,"All Data",5498,"All Data (n = 5498)"
83,19,"English","WS","Second","Hispanic","Female","Some Secondary","production",72,"All Data",5498,"All Data (n = 5498)"
84,27,"English","WS","Second","Other","Male","Secondary","production",183,"All Data",5498,"All Data (n = 5498)"
85,28,"English","WS","Second","Hispanic","Male","Some Secondary","production",212,"All Data",5498,"All Data (n = 5498)"
86,28,"English","WS","Second","Hispanic","Female","Secondary","production",226,"All Data",5498,"All Data (n = 5498)"
87,27,"English","WS","Second","Black","Female","Secondary","production",289,"All Data",5498,"All Data (n = 5498)"
88,17,"English","WS","Fifth","Hispanic","Female","Some Secondary","production",39,"All Data",5498,"All Data (n = 5498)"
89,27,"English","WS","Fourth","Hispanic","Female","Secondary","production",65,"All Data",5498,"All Data (n = 5498)"
90,28,"English","WS","Fourth","Hispanic","Male","Secondary","production",301,"All Data",5498,"All Data (n = 5498)"
91,18,"English","WS","Second","Hispanic","Male","Some Secondary","production",45,"All Data",5498,"All Data (n = 5498)"
92,30,"English","WS","Third","Black","Male","Some Secondary","production",530,"All Data",5498,"All Data (n = 5498)"
93,29,"English","WS","Second","Black","Male","Some College","production",603,"All Data",5498,"All Data (n = 5498)"
94,29,"English","WS","Third","Hispanic","Female","Secondary","production",201,"All Data",5498,"All Data (n = 5498)"
95,23,"English","WS","Third","Other","Female","Some College","production",25,"All Data",5498,"All Data (n = 5498)"
96,18,"English","WS","Second","Hispanic","Male","Some Secondary","production",11,"All Data",5498,"All Data (n = 5498)"
97,24,"English","WS","Seventh","Other","Female","Some College","production",219,"All Data",5498,"All Data (n = 5498)"
98,29,"English","WS","Third","Hispanic","Female","Some College","production",338,"All Data",5498,"All Data (n = 5498)"
99,25,"English","WS","Second","Black","Male","Secondary","production",220,"All Data",5498,"All Data (n = 5498)"
100,30,"English","WS","Third","Black","Male","Some Secondary","production",643,"All Data",5498,"All Data (n = 5498)"
101,25,"English","WS","Second","Hispanic","Male","Secondary","production",229,"All Data",5498,"All Data (n = 5498)"
102,21,"English","WS","Second","Black","Female","Some College","production",264,"All Data",5498,"All Data (n = 5498)"
103,24,"English","WS","Second","Other","Female","Some Secondary","production",165,"All Data",5498,"All Data (n = 5498)"
104,28,"English","WS","Second","Other","Male","Some Secondary","production",320,"All Data",5498,"All Data (n = 5498)"
105,26,"English","WS","Fourth","Other","Male","Secondary","production",532,"All Data",5498,"All Data (n = 5498)"
106,29,"English","WS","Third","White","Female","Some Secondary","production",44,"All Data",5498,"All Data (n = 5498)"
107,21,"English","WS","Second","White","Male","Secondary","production",13,"All Data",5498,"All Data (n = 5498)"
108,23,"English","WS","Second","Other","Male","Secondary","production",535,"All Data",5498,"All Data (n = 5498)"
109,27,"English","WS","Third","Black","Male","Some Secondary","production",132,"All Data",5498,"All Data (n = 5498)"
110,25,"English","WS","Second","White","Female","Secondary","production",671,"All Data",5498,"All Data (n = 5498)"
111,20,"English","WS","Second","Asian","Female","Some College","production",20,"All Data",5498,"All Data (n = 5498)"
112,28,"English","WS","Third","Other","Male","Some Secondary","production",193,"All Data",5498,"All Data (n = 5498)"
113,22,"English","WS","Third","White","Male","Secondary","production",362,"All Data",5498,"All Data (n = 5498)"
114,29,"English","WS","Second","Other","Male","Some College","production",462,"All Data",5498,"All Data (n = 5498)"
115,28,"English","WS","Second","Black","Female","Secondary","production",414,"All Data",5498,"All Data (n = 5498)"
116,21,"English","WS","Third","Other","Male","Some College","production",149,"All Data",5498,"All Data (n = 5498)"
117,27,"English","WS","Second","Hispanic","Female","Some Secondary","production",224,"All Data",5498,"All Data (n = 5498)"
118,25,"English","WS","Second","Black","Male","Some College","production",296,"All Data",5498,"All Data (n = 5498)"
119,17,"English","WS","Second","Black","Male","Secondary","production",319,"All Data",5498,"All Data (n = 5498)"
120,25,"English","WS","Second","Other","Male","Secondary","production",407,"All Data",5498,"All Data (n = 5498)"
121,30,"English","WS","Second","Other","Female","Secondary","production",514,"All Data",5498,"All Data (n = 5498)"
122,26,"English","WS","Fourth","Black","Male","Secondary","production",270,"All Data",5498,"All Data (n = 5498)"
123,25,"English","WS","Second","Hispanic","Female","Some Secondary","production",395,"All Data",5498,"All Data (n = 5498)"
124,24,"English","WS","Second","Black","Male","Some College","production",517,"All Data",5498,"All Data (n = 5498)"
125,18,"English","WS","Second","Hispanic","Male","Secondary","production",293,"All Data",5498,"All Data (n = 5498)"
126,18,"English","WS","Fifth","Hispanic","Male","Some Secondary","production",1,"All Data",5498,"All Data (n = 5498)"
127,21,"English","WS","Second","Hispanic","Female","Some Secondary","production",183,"All Data",5498,"All Data (n = 5498)"
128,22,"English","WS","Third","Hispanic","Male","Secondary","production",31,"All Data",5498,"All Data (n = 5498)"
129,27,"English","WS","Second","Hispanic","Female","Primary","production",150,"All Data",5498,"All Data (n = 5498)"
130,21,"English","WS","Second","Hispanic","Male","Secondary","production",139,"All Data",5498,"All Data (n = 5498)"
131,20,"English","WS","Third","Other","Female","Some College","production",118,"All Data",5498,"All Data (n = 5498)"
132,24,"English","WS","Second","Other","Female","Some College","production",371,"All Data",5498,"All Data (n = 5498)"
133,29,"English","WS","Fourth","Hispanic","Female","Some College","production",611,"All Data",5498,"All Data (n = 5498)"
134,25,"English","WS","Second","Other","Female","Secondary","production",144,"All Data",5498,"All Data (n = 5498)"
135,19,"English","WS","Fourth","Black","Female","Some College","production",225,"All Data",5498,"All Data (n = 5498)"
136,27,"English","WS","Second","Other","Male","Secondary","production",144,"All Data",5498,"All Data (n = 5498)"
137,24,"English","WS","Second","Other","Male","Some Secondary","production",177,"All Data",5498,"All Data (n = 5498)"
138,27,"English","WS","Fifth","Black","Male","Secondary","production",228,"All Data",5498,"All Data (n = 5498)"
139,29,"English","WS","Second","Black","Male","Some Secondary","production",286,"All Data",5498,"All Data (n = 5498)"
140,20,"English","WS","Fourth","Other","Female","Some College","production",141,"All Data",5498,"All Data (n = 5498)"
141,27,"English","WS","Third","Other","Male","Secondary","production",124,"All Data",5498,"All Data (n = 5498)"
142,22,"English","WS","Third","Other","Male","Some Secondary","production",272,"All Data",5498,"All Data (n = 5498)"
143,17,"English","WS","Third","White","Male","Some College","production",67,"All Data",5498,"All Data (n = 5498)"
144,27,"English","WS","Second","White","Male","Some Secondary","production",555,"All Data",5498,"All Data (n = 5498)"
145,19,"English","WS","Second","White","Male","Secondary","production",32,"All Data",5498,"All Data (n = 5498)"
146,28,"English","WS","Second","Hispanic","Female","Secondary","production",189,"All Data",5498,"All Data (n = 5498)"
147,25,"English","WS","Fifth","Black","Female","Some College","production",321,"All Data",5498,"All Data (n = 5498)"
148,23,"English","WS","Fourth","Hispanic","Female","Secondary","production",233,"All Data",5498,"All Data (n = 5498)"
149,22,"English","WS","Third","White","Male","Some College","production",21,"All Data",5498,"All Data (n = 5498)"
150,29,"English","WS","Second","White","Female","Some College","production",186,"All Data",5498,"All Data (n = 5498)"
151,20,"English","WS","Second","Other","Male","Secondary","production",173,"All Data",5498,"All Data (n = 5498)"
152,22,"English","WS","Third","Hispanic","Male","Some College","production",121,"All Data",5498,"All Data (n = 5498)"
153,20,"English","WS","Third","Other","Male","Some Secondary","production",62,"All Data",5498,"All Data (n = 5498)"
154,27,"English","WS","Fourth","Hispanic","Female","Secondary","production",457,"All Data",5498,"All Data (n = 5498)"
155,21,"English","WS","Third","White","Female","Some College","production",18,"All Data",5498,"All Data (n = 5498)"
